# Retired installed filename	Expected CFBundle identifier	Current replacement
s3g_2ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-2ch	retired
s3g_4ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-4ch	retired
s3g_6ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-6ch	retired
s3g_8ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-8ch	retired
s3g_10ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-10ch	retired
s3g_12ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-12ch	retired
s3g_14ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-14ch	retired
s3g_16ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-16ch	retired
s3g_18ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-18ch	retired
s3g_20ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-20ch	retired
s3g_22ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-22ch	retired
s3g_24ch_diffusion_mesh.clap	org.s3g.s3g-dsp.24ch-diffusion-mesh	retired
s3g_26ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-26ch	retired
s3g_28ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-28ch	retired
s3g_30ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-30ch	retired
s3g_32ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-32ch	retired
s3g_34ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-34ch	retired
s3g_36ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-36ch	retired
s3g_38ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-38ch	retired
s3g_40ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-40ch	retired
s3g_42ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-42ch	retired
s3g_44ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-44ch	retired
s3g_46ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-46ch	retired
s3g_48ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-48ch	retired
s3g_50ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-50ch	retired
s3g_52ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-52ch	retired
s3g_54ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-54ch	retired
s3g_56ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-56ch	retired
s3g_58ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-58ch	retired
s3g_60ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-60ch	retired
s3g_62ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-62ch	retired
s3g_64ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-64ch	retired
s3g_66ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-66ch	retired
